time,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,Fetch_m,Hs_m,Wave_Current
2020-01-01T00:00,20.6,97,5.6,63,0.0,0.0,0.0
2020-01-01T01:00,20.2,97,5.3,62,0.0,0.0,0.0
2020-01-01T02:00,20.1,97,5.2,56,10.67,0.0,0.0
2020-01-01T03:00,19.6,98,6.0,25,413.33,0.06,0.19
2020-01-01T04:00,19.6,98,5.4,4,973.87,0.09,0.18
2020-01-01T05:00,19.6,97,5.5,23,559.47,0.07,0.19
2020-01-01T06:00,19.7,96,5.9,38,49.33,0.0,0.0
2020-01-01T07:00,22.1,82,8.9,43,42.67,0.0,0.0
2020-01-01T08:00,22.2,84,10.8,53,18.67,0.0,0.0
2020-01-01T09:00,22.4,85,9.8,54,16.0,0.0,0.0
2020-01-01T10:00,23.0,84,10.0,52,21.33,0.0,0.0
2020-01-01T11:00,23.7,80,11.3,63,0.0,0.0,0.0
2020-01-01T12:00,24.9,73,9.8,66,0.0,0.0,0.0
2020-01-01T13:00,25.6,69,9.7,59,2.67,0.0,0.0
2020-01-01T14:00,25.7,68,9.2,48,32.0,0.0,0.0
2020-01-01T15:00,25.3,70,9.4,43,42.67,0.0,0.0
2020-01-01T16:00,24.6,73,8.7,42,44.0,0.0,0.0
2020-01-01T17:00,23.8,77,10.8,53,18.67,0.0,0.0
2020-01-01T18:00,22.7,82,7.2,72,0.0,0.0,0.0
2020-01-01T19:00,22.3,86,11.4,66,0.0,0.0,0.0
2020-01-01T20:00,22.0,89,13.4,76,0.0,0.0,0.0
2020-01-01T21:00,21.3,92,12.1,67,0.0,0.0,0.0
2020-01-01T22:00,21.6,79,5.8,60,0.0,0.0,0.0
2020-01-01T23:00,20.4,79,4.2,70,0.0,0.0,0.0
2020-01-02T00:00,20.1,77,4.7,86,0.0,0.0,0.0
2020-01-02T01:00,19.3,79,5.1,86,0.0,0.0,0.0
2020-01-02T02:00,18.6,84,5.6,75,0.0,0.0,0.0
2020-01-02T03:00,18.9,85,4.9,73,0.0,0.0,0.0
2020-01-02T04:00,19.5,84,4.7,67,0.0,0.0,0.0
2020-01-02T05:00,20.4,78,6.8,65,0.0,0.0,0.0
2020-01-02T06:00,20.8,78,8.4,59,2.67,0.0,0.0
2020-01-02T07:00,21.8,81,9.7,59,2.67,0.0,0.0
2020-01-02T08:00,21.8,84,10.7,57,8.0,0.0,0.0
2020-01-02T09:00,22.2,83,11.4,55,13.33,0.0,0.0
