Arah (°),fetch_Ajibata,fetch_Ambarita,fetch_Balige,fetch_Muara,fetch_Simanindo,fetch_Sipinggan,fetch_Tigaras,depth_Ajibata,depth_Ambarita,depth_Balige,depth_Muara,depth_Simanindo,depth_Sipinggan,depth_Tigaras
0,280,7100,6520,1140,7760,420,300,7.032135482492118,91.05419612383541,86.17663519762193,14.523383358250493,104.92284873967925,14.070362992064897,10.596322478786592
15,320,6520,7650,1430,6920,440,310,7.278321934468819,93.01975970940057,76.86978639090341,12.374822112421194,100.72818236812024,14.111843132972718,10.422628734260798
30,390,6610,8620,60,6480,520,310,6.774490758776665,96.75791486980692,84.1743032716793,1.8754583597183228,99.75139107267,13.461894590899629,10.35156537219882
45,250,6780,14140,40,6490,600,340,6.7915993470412035,101.66426043763252,70.7040299961508,1.8754583597183228,98.10383506664863,14.42645314873242,10.03692045892988
60,200,7070,370,0,6890,760,340,6.808502486773899,96.2331911995586,9.572282314300537,1.8754583597183228,99.74820780892303,15.020370537584478,10.58649971485138
75,180,7950,300,0,7110,1730,340,6.950880383190356,77.08926997472294,10.22427285486652,1.8754583597183228,91.18231362824359,11.908008282212005,10.306056778771536
90,210,10010,290,0,9590,17350,350,6.514950714328072,79.83263243517713,10.315020835399627,1.8754583597183228,73.3378393848737,105.48097665868872,10.598563700914383
105,210,11360,300,0,16630,24230,430,7.018882063302127,75.94792780062559,10.22427285486652,1.8754583597183228,61.95580992998126,132.98591196374727,10.263899058103561
120,240,780,300,0,2840,16120,820,7.017823400497437,12.592779821987394,10.339857685950495,1.8754583597183228,16.33479101950662,185.7867203340424,8.774456585746213
135,250,680,330,0,250,16140,2710,7.420723548302283,9.761341514794722,10.098732972846312,1.8754583597183228,8.649662004067348,138.1379892712407,9.598206439877258
150,300,410,360,0,250,12490,15270,7.593668968446793,9.765036591461726,10.640670305973774,1.8754583597183228,8.696575664556944,102.81980401258468,85.60041483979262
165,390,340,380,0,240,8900,9530,7.699236735701561,9.678086420467922,11.15696524656736,1.8754583597183228,8.762910218238831,82.64667624830531,61.854906059411086
180,460,300,400,50,240,5420,6590,9.909738654785968,10.248395908263422,11.57207752146372,1.8754583597183228,8.777144951820373,78.30161160197706,77.22123002789237
195,510,300,480,50,240,10520,5920,10.76448924954121,9.666023300540063,11.859705182970787,1.8754583597183228,8.777144951820373,55.20631868592468,88.14390537690554
210,470,310,570,370,270,14470,6820,10.863479678829512,9.743560694158077,12.818393209884906,2.0185605256181014,8.501135106597628,81.25787940720168,91.7904445234888
225,440,290,640,710,250,10300,6520,11.724560976028442,9.956826452414195,13.915015090428867,5.399704789121945,9.095031733696278,117.1655884937218,99.37139072096913
240,510,300,630,700,420,510,7640,11.82293347441233,9.425503238554924,15.905232576653361,7.5728533519825465,6.525632888771767,13.705392509698868,98.02787614445282
255,6780,450,680,830,640,460,24780,67.6531247666026,8.082858443260193,17.27098101982172,10.248455652168818,7.736242560239939,12.70169714917528,170.7278283251154
270,8180,640,840,950,980,410,29030,83.98708713229323,9.631560466839717,17.295663419891806,13.21569936722517,10.5623644843246,12.81310069277173,247.98899607606663
285,8500,570,1300,1110,1200,400,30680,95.62609268243388,11.782665172527576,15.848738372780895,15.170255683362484,14.519329923243562,12.495267824428838,147.68922359196048
300,48440,740,2180,11280,28320,410,15390,151.25520122959148,11.846335961023966,18.64317658557195,50.86474516858455,201.0047470386736,12.629569936366309,23.916115814369995
315,13500,3630,16820,3100,19440,430,340,60.26689940095389,16.370178305513257,133.9563601033998,10.02085724942554,143.77841846115484,13.164331948215311,10.199988276617868
330,1010,17070,15650,1010,15550,480,310,6.570445405501945,73.18620701270305,122.32873942454655,15.474807929758931,104.97928395660493,13.214538802905958,10.03277475759387
345,260,10680,22060,1060,9930,440,310,7.141369294237207,78.00534027798138,100.62370731482746,14.720165671589218,103.99637519341839,14.013844535085891,9.7282621152699
